Country,Year,Unemployment.x,GDP,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Density,Urbanization,Population,log_GDP,Unemployment,Unemployment_lag
Africa Eastern and Southern,2000,6.939536435,284759000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.374909045446742,6.939536435,6.939536435
Africa Western and Central,2000,4.666422595,140946000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.671642675246094,4.666422595,4.666422595
Angola,2000,4.163,9129594819,802.627,731.427,712.576,723.654,747.325,817.068,743.735,828.958,875.526,991.295,1062.788,996.472,743.754,522.991,368.84,445.424,555.75,631.28,517.868,474.186,681.129,645.145,872.658,982.806,1254.696,1900.724,2597.964,3121.349,4081.718,3123.699,3586.664,4608.155,5083.827,5228.511,5371.217,4130.93,3468.518,4039.3,3240.858,2612.246,1709.283,2169.648,3438.147,2550.001,2452.737,2483.027,2507.49,2570.826,2622.394,26,21061025,31825295,22.934787151488553,4.163,4.163
Albania,2000,19.028,3480355258,728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4525.887,5257.714,5345.058,5278.986,6259.762,6657.637,8057.49,8877.337,9280.572,9818.569,10470.18,11187.728,105,1747593,2854191,21.970400211154594,19.028,19.028
Arab World,2000,12.44784586,820186000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.432796980751135,12.44784586,12.44784586
United Arab Emirates,2000,2.25,104337000000,41311.881,42237.276,36927.264,32717.479,29957.847,27912.523,21198.712,22345.786,19032.876,21142.453,27484.598,25577.028,25833.806,25033.005,25737.492,26309.298,29821.12,29909.645,26571.562,27833.669,34386.178,32621.364,32790.74,35017.316,39301.136,43983.848,44313.566,41466.918,39073.38,30920.369,36324.592,42986.879,45108.027,46207.448,47063.628,41422.602,40483.337,41971.753,45591.68,43981.605,37648.963,43438.523,51399.958,50602.325,52406.862,53813.014,55450.244,57273.761,59306.499,118,8479744,9770529,25.370891881970895,2.25,2.25
Argentina,2000,15,284204000000,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,10054.023,8571.937,10631.665,13619.875,13297.425,13394.339,13330.463,13704.371,14288.019,14813.269,17,41339571,44938712,26.372958127105722,15,15
Armenia,2000,11.055,1911563669,0,0,0,0,0,0,0,0,0,0,0,0,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3524,3868.906,4195.963,4596.861,4268.55,4679.46,6587.219,8283.119,9090.707,9785.538,10488.266,11248.191,12062.817,104,1869848,2957731,21.371187418942576,11.055,11.055
Australia,2000,6.28,415845000000,11009.179,12530.324,12236.639,11593.755,12576.995,10969.258,11246.926,13000.587,16248.459,18206.567,18875.216,18670.239,18117.464,17456.131,19748.718,20920.344,23168.871,23037.392,20388.811,21762.294,20895.367,19486.698,21692.196,27288.855,32852.825,36232.385,37948.951,45180.943,49194.235,45770.392,56577.949,67270.22,68449.591,65200.823,61616.044,51412.407,51815.345,55804.163,56352.938,54289.066,53094.491,63841.724,64813.854,63487.049,62596.271,65317.386,67798.39,70227.696,72668.724,3,21844756,25766605,26.753578431622635,6.28,6.28
Austria,2000,4.69,197290000000,10731.955,9280.728,9267.664,9417.235,8882.629,9090.795,12886.095,16093.014,17632.815,17547.811,21827.44,22621.881,25068.398,24152.659,25725.557,30350.529,29820.596,26737.482,27399.085,27210.471,24636.471,24558.922,26508.32,32298.607,36883.892,38450.609,40674.883,46922.558,51914.013,48111.662,46955.173,51452.276,48616.903,50747.384,51814.424,44267.809,45278.829,47320.537,51234.477,50195.321,48857.083,53528.707,52191.771,58013.273,60594.254,63203.485,65474.483,67417.58,68979.609,109,5194416,8877067,26.00794056445329,4.69,4.69
